comparison,d_path_m,d_path_pct,d_success_pct,d_tour_s,effect,held_fixed,scenario
,-62.8,-40.8,,-13.8,ordering,planner=straight,1
,-62.9,-39.6,,-31.2,ordering,planner=astar,1
,-63.4,-40.4,,-21.1,ordering,planner=rrts,1
,-14.1,-13.4,,-81.4,ordering,planner=straight,2
,-60.3,-38.7,,-25.1,ordering,planner=astar,2
,-59.7,-38.5,,-57.7,ordering,planner=rrts,2
,-107.6,-49.5,,-64.6,ordering,planner=straight,3
,-107.4,-47.5,,-78.8,ordering,planner=astar,3
,-108.2,-47.7,,-88.3,ordering,planner=rrts,3
,0.2,0.3,,-13.3,ordering,planner=straight,4
,-3.0,-4.1,,-3.9,ordering,planner=astar,4
,-1.6,-2.2,,-29.1,ordering,planner=rrts,4
astar-straight,4.8,,0.0,22.6,planner,ordering=input,1
rrts-straight,2.9,,0.0,9.0,planner,ordering=input,1
astar-straight,4.8,,0.0,5.2,planner,ordering=nn_2opt,1
rrts-straight,2.3,,0.0,1.7,planner,ordering=nn_2opt,1
astar-straight,50.6,,100.0,-34.2,planner,ordering=input,2
rrts-straight,49.5,,100.0,-5.6,planner,ordering=input,2
astar-straight,4.4,,0.0,22.2,planner,ordering=nn_2opt,2
rrts-straight,3.9,,0.0,18.1,planner,ordering=nn_2opt,2
astar-straight,8.6,,0.0,40.4,planner,ordering=input,3
rrts-straight,9.1,,0.0,42.0,planner,ordering=input,3
astar-straight,8.8,,0.0,26.2,planner,ordering=nn_2opt,3
rrts-straight,8.5,,0.0,18.3,planner,ordering=nn_2opt,3
astar-straight,9.1,,66.7,-13.2,planner,ordering=input,4
rrts-straight,6.9,,33.3,13.2,planner,ordering=input,4
astar-straight,5.9,,100.0,-3.8,planner,ordering=nn_2opt,4
rrts-straight,5.2,,100.0,-2.6,planner,ordering=nn_2opt,4
