scenario,ordering,planner,n,tour_mean,tour_std,total_mean,total_std,path_mean,path_std,coverage_pct,aruco_pct,success_rate_pct
1,input,straight,3,107.3,2.9,129.8,3.9,153.9,0.5,100.0,96.7,100.0
1,input,astar,3,129.9,2.6,153.0,3.9,158.8,0.2,100.0,100.0,100.0
1,input,rrts,3,116.2,6.3,139.0,7.5,156.8,0.6,100.0,96.7,100.0
1,nn_2opt,straight,3,93.5,17.5,119.5,18.6,91.1,0.8,100.0,93.3,100.0
1,nn_2opt,astar,3,98.7,7.3,121.6,7.4,95.8,0.2,100.0,100.0,100.0
1,nn_2opt,rrts,3,95.1,8.3,120.5,9.4,93.4,1.0,100.0,90.0,100.0
2,input,straight,3,170.3,20.0,206.5,40.1,105.4,30.5,53.3,50.0,0.0
2,input,astar,3,136.2,1.3,159.2,1.1,156.0,0.2,100.0,100.0,100.0
2,input,rrts,3,164.7,14.1,188.4,14.8,154.9,0.1,100.0,93.3,100.0
2,nn_2opt,straight,3,88.9,7.8,115.2,7.1,91.3,1.5,100.0,100.0,100.0
2,nn_2opt,astar,3,111.1,3.7,137.3,4.0,95.7,0.7,100.0,96.7,100.0
2,nn_2opt,rrts,3,107.0,4.7,133.1,4.9,95.2,1.7,100.0,86.7,100.0
3,input,straight,3,201.1,9.8,227.2,9.3,217.6,0.4,100.0,93.3,100.0
3,input,astar,3,241.5,10.5,266.5,11.0,226.2,1.8,100.0,93.3,100.0
3,input,rrts,3,243.1,25.2,267.6,25.5,226.7,2.7,100.0,93.3,100.0
3,nn_2opt,straight,3,136.6,21.8,162.1,22.7,110.0,1.2,100.0,96.7,100.0
3,nn_2opt,astar,3,162.7,8.6,188.5,9.0,118.8,0.8,100.0,100.0,100.0
3,nn_2opt,rrts,3,154.9,5.8,180.7,5.7,118.5,0.6,100.0,98.3,100.0
4,input,straight,3,90.6,24.3,115.0,25.1,64.6,19.6,60.0,53.3,33.3
4,input,astar,3,77.3,1.3,100.9,1.0,73.7,0.8,100.0,100.0,100.0
4,input,rrts,3,103.7,46.8,129.0,43.8,71.6,4.9,86.7,86.7,66.7
4,nn_2opt,straight,3,77.3,5.8,100.0,5.6,64.8,8.5,66.7,66.7,0.0
4,nn_2opt,astar,3,73.4,7.1,96.0,7.1,70.7,0.7,100.0,93.3,100.0
4,nn_2opt,rrts,3,74.7,3.0,97.6,2.6,70.0,1.2,100.0,100.0,100.0
