Scenario,Planner,TourTime_s,TotalMissionTime_s,PathDistance_m,EffSpeed_mps,VP_verified,VP_total,ArUco_confirmed,ArUco_rate_pct,Complete
scenario1,Baseline,129.6,156.2,154.4,1.191,10,10,9,90,1
scenario1,A*+2-opt,111.7,139.7,93.5,0.837,10,10,10,100,1
scenario1,RRT*+2-opt,120.1,146.2,91.0,0.758,10,10,8,80,1
scenario2,Baseline,154.0,182.2,152.0,0.987,9,10,7,70,0
scenario2,A*+2-opt,129.9,158.5,96.4,0.742,10,10,8,80,1
scenario2,RRT*+2-opt,126.9,152.5,92.8,0.731,10,10,9,90,1
scenario3,Baseline,232.1,257.8,219.2,0.945,20,20,15,75,1
scenario3,A*+2-opt,202.3,228.1,119.5,0.591,20,20,19,95,1
scenario3,RRT*+2-opt,176.8,205.7,118.4,0.669,20,20,19,95,1
scenario4,Baseline,89.7,118.2,76.8,0.856,4,5,3,60,0
scenario4,A*+2-opt,88.7,114.7,69.9,0.788,5,5,4,80,1
scenario4,RRT*+2-opt,99.5,126.5,70.8,0.711,5,5,4,80,1
